ESCOURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,DESCRIPTION
http://data.europa.eu/esco/isced-f/08,key_17672,d10d41bd-6bb8-44cf-bda4-a7f10a3007ea,,"zemědělství, lesnictví, rybářství a veterinářství",
http://data.europa.eu/esco/isced-f/080,key_17673,7b90c913-f3d8-44a1-b8b1-fb9750db3e7a,,"zemědělství, lesnictví, rybářství a veterinářství dále nedefinované",
http://data.europa.eu/esco/isced-f/0800,key_17674,24381de9-29d1-4408-81a1-7ff211ccc78e,,"zemědělství, lesnictví, rybářství a veterinářství dále nedefinované",
http://data.europa.eu/esco/isced-f/081,key_17675,938777df-d427-4b8b-aca4-f7a6f74e3537,,zemědělství,
http://data.europa.eu/esco/isced-f/0810,key_17676,f56d8b94-3ec6-40fe-9d65-ea6933d1de2b,,zemědělství dále nedefinované,
http://data.europa.eu/esco/isced-f/0811,key_17677,a56826ba-8c3d-4fc4-9160-10cbe6d0a5ba,,rostlinná a živošičná výroba,
http://data.europa.eu/esco/isced-f/0812,key_17678,7f1d8c2e-206a-42e5-9d7e-41ec67a9097d,,zahradnictví,
http://data.europa.eu/esco/isced-f/0819,key_17679,49686952-c3ee-454a-a58f-56f1ab2142e0,,zemědělství jinde neklasifikované,
http://data.europa.eu/esco/isced-f/082,key_17680,38ac2a6d-71ec-45ac-85b2-803ddd671158,,lesnictví,
http://data.europa.eu/esco/isced-f/0821,key_17681,8cc4f2ca-c183-49cc-a76b-5596f68a1e07,,lesnictví,
http://data.europa.eu/esco/isced-f/083,key_17682,28e54ec0-eaa0-40c5-9775-ad6eef60808e,,rybářství,
http://data.europa.eu/esco/isced-f/0831,key_17683,a209f9f4-20e0-4606-a011-664c91c7711b,,rybářství,
http://data.europa.eu/esco/isced-f/084,key_17684,331c521f-41c4-49eb-b5ff-adbe24dc38e8,,veterinářství,
http://data.europa.eu/esco/isced-f/0841,key_17685,af54db5a-67a6-4839-9783-ff3da8051e2c,,veterinářství,
http://data.europa.eu/esco/isced-f/088,key_17686,c12c4beb-c9ec-4e5d-b059-f110349ac9bd,,"interdisciplinární programy a kvalifikace zahrnující zemědělství, lesnictví, rybářství a veterinářství",
http://data.europa.eu/esco/isced-f/0888,key_17687,8e0ac77e-28b3-4e9a-84a8-2d42f3971e5c,,"interdisciplinární programy a kvalifikace zahrnující zemědělství, lesnictví, rybářství a veterinářství",
http://data.europa.eu/esco/isced-f/089,key_17688,42c106b5-7413-4fdc-8933-51bd06e6a241,,"zemědělství, lesnictví, rybářství a veterinářství jinde neklasifikované",
http://data.europa.eu/esco/isced-f/0899,key_17689,e84c6c78-e78e-4aea-a8b1-880d2a9d8943,,"zemědělství, lesnictví, rybářství a veterinářství jinde neklasifikované",
http://data.europa.eu/esco/isced-f/09,key_17690,47d7563f-f33c-48b9-aaef-a9e93832e4cf,,zdravotnictví a sociální péče,
http://data.europa.eu/esco/isced-f/090,key_17691,3965157d-895a-4ee4-a50d-d0cb29794640,,zdravotnictví a sociální péče dále nedefinované,
