ESCOURI,ID,UUIDHISTORY,PREFERREDLABEL,CODE
http://data.europa.eu/esco/isco/C235,key_122,9aea5b80-2fcc-4d49-9cac-5d3ea27d5c2f,Ostatní specialisté v oblasti výchovy a vzdělávání,235
http://data.europa.eu/esco/isco/C2351,key_123,109398bd-436d-4989-9d3d-43b782002d24,Specialisté zaměření na metody výuky,2351
http://data.europa.eu/esco/isco/C2352,key_124,c1e1fad3-cb58-4968-8155-2b5967622434,Učitelé a vychovatelé pro děti se speciálními vzdělávacími potřebami,2352
http://data.europa.eu/esco/isco/C2353,key_125,c65af1fc-c78a-4f10-9d9d-124e9b9e0e78,Lektoři jazyků,2353
http://data.europa.eu/esco/isco/C2354,key_126,d05e9f77-d1dd-4015-bcd2-492e1646a914,Lektoři hudby,2354
http://data.europa.eu/esco/isco/C2355,key_127,af206492-3a4c-4765-9c38-c1230bf566ab,Lektoři umění,2355
http://data.europa.eu/esco/isco/C2356,key_128,76c70d5b-6158-4b55-8465-80ea2058ba0b,Lektoři výuky informačních technologií,2356
http://data.europa.eu/esco/isco/C2359,key_129,6f078bfc-8139-4234-947f-3e459339dcb0,Specialisté v oblasti výchovy a vzdělávání jinde neuvedení,2359
http://data.europa.eu/esco/isco/C24,key_130,cbf389f9-4010-43b2-b3dd-4cc0f3303dd5,Specialisté v obchodní sféře a veřejné správě,24
http://data.europa.eu/esco/isco/C241,key_131,248f3525-f0d0-49d7-961f-80912a1b00bc,Specialisté v oblasti financí,241
http://data.europa.eu/esco/isco/C2411,key_132,d5a29486-2c6b-49d6-9dda-88f33f08e82e,Specialisté v oblasti účetnictví,2411
http://data.europa.eu/esco/isco/C2412,key_133,e656a319-7bc1-4948-a9a0-bba2220d3ff7,Finanční a investiční poradci,2412
http://data.europa.eu/esco/isco/C2413,key_134,bbf9b65e-e37d-4673-a9f1-6a8e28f4a154,Finanční analytici,2413
http://data.europa.eu/esco/isco/C242,key_135,4272b312-dfda-47d5-90fa-31f4768e4785,Specialisté v oblasti strategie a personálního řízení,242
http://data.europa.eu/esco/isco/C2421,key_136,142dc324-275c-404c-89e8-f352912cb36f,Specialisté v oblasti organizace a řízení práce,2421
http://data.europa.eu/esco/isco/C2422,key_137,6a75bbfe-b9ba-4697-93a9-9eeafba6fcf0,Specialisté v oblasti strategie,2422
http://data.europa.eu/esco/isco/C2423,key_138,a859404f-9098-4536-886e-06a20313290f,Specialisté v oblasti personální,2423
http://data.europa.eu/esco/isco/C2424,key_139,4e515357-40e2-4af3-b8f5-eda013f9e3a7,Specialisté v oblasti vzdělávání a rozvoje lidských zdrojů,2424
http://data.europa.eu/esco/isco/C243,key_140,1f9f5024-d82f-48c2-aa04-76c94ee89da7,"Specialisté v oblasti prodeje, marketingu a styku s veřejností",243
http://data.europa.eu/esco/isco/C2431,key_141,891566a8-ca2c-4bc5-9190-7f5fb02647a5,Specialisté v oblasti reklamy a marketingu,2431
http://data.europa.eu/esco/isco/C2432,key_142,40569d30-4232-408e-9d65-14f1736c223f,Specialisté v oblasti styku s veřejností,2432
http://data.europa.eu/esco/isco/C2433,key_143,84351147-fec4-45fb-90fe-df2d57e4d3a0,Specialisté v oblasti prodeje technických a lékařských produktů (kromě informačních a komunikačních technologií),2433
http://data.europa.eu/esco/isco/C2434,key_144,1b36acb5-0768-4108-9aa9-55729b1bec68,Specialisté v oblasti prodeje informačních a komunikačních technologií,2434
http://data.europa.eu/esco/isco/C25,key_145,1f39c286-9ba8-4dfb-b13d-032975ba0ece,Specialisté v oblasti informačních a komunikačních technologií,25
http://data.europa.eu/esco/isco/C251,key_146,f842ce3b-2d45-4a30-bab7-8f129d7d5178,Analytici a vývojáři softwaru a počítačových aplikací,251
http://data.europa.eu/esco/isco/C2511,key_147,c181ffc5-0c21-45d1-a0e4-aed3f3e30fc6,Systémoví analytici,2511
http://data.europa.eu/esco/isco/C2512,key_148,a21a1035-b0f2-4a6b-ac87-d97b42c85ca4,Vývojáři softwaru,2512
http://data.europa.eu/esco/isco/C2513,key_149,2d221aa9-c8f2-49dc-9c33-3408fefa2b24,Vývojáři webu a multimédií,2513
http://data.europa.eu/esco/isco/C2514,key_150,69e9f41c-c158-456a-9613-f8a0f8f7a789,Programátoři počítačových aplikací,2514
http://data.europa.eu/esco/isco/C2519,key_151,8e8a9328-99f9-43bc-a9fc-360d4f1bbc6f,Analytici a vývojáři softwaru a počítačových aplikací jinde neuvedení,2519
http://data.europa.eu/esco/isco/C252,key_152,9d94f417-0a02-4246-a59d-9499b2ed72de,Specialisté v oblasti databází a počítačových sítí,252
http://data.europa.eu/esco/isco/C2521,key_153,c06ddd1d-4051-45fb-813e-f96cbfa14b2b,Návrháři a správci databází,2521
http://data.europa.eu/esco/isco/C2522,key_154,af0b4dca-aff0-44ce-9577-ca61908abdff,Systémoví administrátoři (správci systémů),2522
http://data.europa.eu/esco/isco/C2523,key_155,75af80be-521e-4310-b9fa-d748ea2a2f1b,Specialisté v oblasti počítačových sítí,2523
http://data.europa.eu/esco/isco/C2529,key_156,7e621cba-22df-486b-aa10-5f0549bfd3b9,Specialisté v oblasti databází a počítačových sítí jinde neuvedení,2529
http://data.europa.eu/esco/isco/C26,key_157,bef338c3-1a6e-4621-99f9-095b8609def5,"Specialisté v oblasti právní, sociální, kulturní a v příbuzných oborech",26
http://data.europa.eu/esco/isco/C261,key_158,0d3614ba-12dc-4380-9733-a013901e8c76,Specialisté v právní oblasti a pracovníci v příbuzných oborech,261
http://data.europa.eu/esco/isco/C2611,key_159,ee3a3600-3734-4405-92d6-fe761a3b01cd,"Právníci, státní zástupci a příbuzní pracovníci",2611
http://data.europa.eu/esco/isco/C2612,key_160,f6186a99-01d5-4e67-bbe1-d9763d4c0ef8,Soudci a příbuzní pracovníci,2612
http://data.europa.eu/esco/isco/C2619,key_161,e9428a59-983c-4add-8a40-5d2bc0c68523,Specialisté v právní oblasti a pracovníci v příbuzných oborech jinde neuvedení,2619
http://data.europa.eu/esco/isco/C262,key_162,cd4e4d64-977b-4249-b9bb-43f0cc385b9e,"Specialisté v knihovnách, archivech a v příbuzných oborech",262
http://data.europa.eu/esco/isco/C2621,key_163,d367e07d-5c49-43ec-8baf-87fa7221bc3a,Specialisté archiváři a kurátoři,2621
http://data.europa.eu/esco/isco/C2622,key_164,1dc78923-3b8d-4645-be14-4abbcb0d3d75,Specialisté v knihovnách a v příbuzných oborech,2622
http://data.europa.eu/esco/isco/C263,key_165,af26ad05-1721-4f33-9407-78abb3ef9799,"Specialisté v oblasti sociální, církevní a v příbuzných oborech",263
http://data.europa.eu/esco/isco/C2631,key_166,5b1c056a-c341-4023-b07e-8f420397ad16,Specialisté v oblasti národohospodářství,2631
http://data.europa.eu/esco/isco/C2632,key_167,f601ff7a-bce0-4650-9a60-61ee4d3f68b7,"Sociologové, antropologové a specialisté v příbuzných oborech",2632
http://data.europa.eu/esco/isco/C2633,key_168,21878bdc-e043-4b25-a5d6-b734598076e9,"Filozofové, historici a politologové",2633
http://data.europa.eu/esco/isco/C2634,key_169,6009df90-9e8a-41e9-acf6-de474b651fad,Psychologové,2634
http://data.europa.eu/esco/isco/C2635,key_170,81a7ec37-acb7-4942-9b29-55c6df2ac154,Specialisté v oblasti sociální práce a poradenství,2635
http://data.europa.eu/esco/isco/C2636,key_171,c8344c31-0dce-4dfb-a31e-ef017c0a3cca,Specialisté v církevní oblasti a v příbuzných oborech,2636
http://data.europa.eu/esco/isco/C264,key_172,119041c8-3cce-41c0-bcc1-b2bb33692b62,"Spisovatelé, novináři a jazykovědci",264
http://data.europa.eu/esco/isco/C2641,key_173,499c3834-7f3f-45b6-b9be-74a4fea52109,Spisovatelé a pracovníci v příbuzných oborech,2641
http://data.europa.eu/esco/isco/C2642,key_174,ef54342f-2815-479a-8e87-af1e17530a3b,Novináři,2642
http://data.europa.eu/esco/isco/C2643,key_175,7d595aa0-0e91-4d0d-bdb7-75211ad7d9ae,"Překladatelé, tlumočníci a jazykovědci",2643
http://data.europa.eu/esco/isco/C265,key_176,4eefcfa8-e570-431b-b6e1-2eb73fff221b,Výkonní umělci,265
http://data.europa.eu/esco/isco/C2651,key_177,0e952be4-3f9f-4382-8981-06a89d8fb4fd,Výtvarní umělci,2651
http://data.europa.eu/esco/isco/C2652,key_178,2206d3fe-02f2-48d0-8c44-53c6e30e692f,"Hudebníci, zpěváci a skladatelé",2652
http://data.europa.eu/esco/isco/C2653,key_179,4b042929-c0e0-43fa-a55d-47a58500577a,Tanečníci a choreografové,2653
http://data.europa.eu/esco/isco/C2654,key_180,6be07c83-49ac-479b-8e0e-2483bffc0f62,"Filmoví, divadelní a příbuzní režiséři a producenti",2654
